user,rating,comment
冰红深蓝,力荐,"摄影剪辑调度配乐音效场面还原都登峰造极，尽管爱情故事十分烂俗，但我就是不争气地被打动了。更重要的是，本片在深度上也绝非肤浅：对现代性和技术理性的反思、灾难前的种种人性(乐队,神父,老夫妻,查字典的外国家庭)、对生命的热爱(用最热忱的生活态度缅怀逝者,永不放弃)，片尾长镜头绝赞！（9.0/10） | 20230414 大银幕重温3D IMAX版（纪念泰坦尼克号沉没111周年），观感极佳，确乎是真正意义上的大片。泰坦尼克号成了上流社会傲慢、虚荣与虚伪的象喻，一如“永不沉没之船”首航即遇难，片中也充满了各式反讽。灾难放大了人性中的美善与丑恶，压力之下人的性格本相才会充分呈露出来。剪辑转场（尤其是素描画—青年罗丝—老年罗丝这一延长的双重匹配叠化）实在精妙。本片还是一部关于女性独立成长、超越时代的女性力量（结尾照片太动人）的杰作。"
已注销,力荐,他们的爱情死在最好的时候。
焚紙樓,还行,當船體即將一裂為二的前夕，全船的電燈極其巧合似的停滯了，如失血前的暈眩、如窒息前的睜瞳，讓人驚覺這艘船原來是活著的──全片194分鐘，唯獨這幾秒，鐵達尼號才真正顯現出它原該是主人公的存在之感，而非羅密歐茱麗葉情話綿綿的打卡佈景而矣。
朝暮雪,力荐,第70届奥斯卡最佳影片，全球票房影史第二名，仅次于卡神的《阿凡达》，真正的口碑票房双丰收。
judyisland,力荐,“He saved me in every way a human can be saved”
卡夫不卡,力荐,我十二岁看不喜欢它，觉得Rose和Jack顺利地下了船，他们的生活肯定会在鸡毛蒜皮里消磨，现在觉得大错特错，Rose遇到Jack以后才开始真的活着。而Rose本来就如斯嘉丽一样，是充满生命力的人，Jack不是创造了她心中的火，而是让她点燃了，所以她可以迅速地肆无忌惮地在三等舱跳舞奔跑。1900的船伴随着“America”的叫喊声再也不会有人听他的琴，他也一直没有走下自己的船，而Rose的船却是人生的起点，后来那些灿烂的照片，Jack不是给了她爱情，更重要的是让她知道了“爱”。故事本身并不复杂，完全能理解为什么票房影史第一如此多年，你在这里能看到对电影所有的期望，帅气漂亮的演员，壮观的大场面，以及各种配角。小提琴手拉最后一首歌的时候我狂哭不止，它的细节如此之多，以至于我真的觉得那些人物是活的。
昵称被占不开心,力荐,我甚至连他的一张照片都没有，他活在我的心里
后天的雨,力荐,这部大片的感染力就是，尽管看过不止一次，剧情聊熟于心，当年3d重制上映时候大家还是很期待地去看，满场的人，然后再次被震撼。 对rose和jack来说，船上那几天是人生最精彩最美丽的几天，rose也用一生来纪念他。
空山鸟语,力荐,最后，镜头拉到老人家在床上睡觉，身旁一张张照片掠过，都是她和杰哥约定要做的事情然后再进到沉船的残骸，画面从一片死寂逐渐变暖，最后进到大厅里，里面全是事故的逝者然后大堂的钟前是男主的背影，回头这才发现是女主视角旁边乐师，设计师死者复生，大家重新团聚，画面从冷到暖，接着变成女主视角，把我杀穿了，眼泪不值钱。
南极海盐,力荐,rose真好！为什么二十五年前就能拍出这种电影啊😭😭
万俟陨枫,很差,这里所谓的爱情就是色情。一星给主题歌，完全靠主题歌拔高感觉。立意差。男主一个混混没错吧，教女生各种坏，女生根本不是为了爱情放弃的金钱，女生本来是受不了上流社会的虚伪和做作，已经去跳船了，男主盯着女生尾随到船尾，然后骗了这个女生，无非是想睡，后面就睡了。这里面有爱？
乔小囧,力荐,13年后，我才看了这部经典大片。美国人的商业片，从来都那么深入内心。我不可脱俗的被这场爱情感动，或者说我感动的是对爱的态度。灾难来得突然，对爱的考验也来得突然，容不得你准备，你必须用生命来完成这道题目。真爱，不会露怯。假爱，总会在灾难面前显得那么可笑。海洋没心，但你有海洋之心。
Dream°◊well,力荐,94/100。因为之前已经知道不少剧情了，所以一直也没有太大兴趣看。但终于看完了这部影片后，我真的非常触动。果然好的电影不只在于讲了什么故事，还在于怎么讲出了这个故事。
momo,推荐,不懂重映为什么非要弄成3D的……
阿涩,力荐,"经典之所以为经典。第一次在大荧幕上看这部电影，再看依然后劲很大。其实直到这次买票的时候才发现这部电影居然有三个多小时。群像、人性、爱情，每个方面的塑造都是丰满的，细节之丰富和到位不会让我觉得有一个镜头是多余的。
看到一位网友的说法觉得很对，Rose从来不是玻璃罩里的玫瑰，她是在笼子里哀啼却没有人听到的鸟。爱情也不是救赎，Jack只是向Rose伸出了手，但她最终还得靠自己展开双翼。（另外凯特温斯莱特真的好美啊，真的会让我联想到热烈又娇嫩的玫瑰花瓣。）
看到Jack刚登上船时迎着海风喊出“I'm the king of the world”的时候真的眼眶湿润，他就这样停留在最意气风发的年纪了啊。"
Kevin,推荐,#cherryhill 花最多的钱，拍最甜的玛丽苏；但俗套不是问题，或者越俗越好：俗也是纯粹、真诚、不犬儒、不含杂质，而最美好之物本就注定沉没于海底，就像层层叠叠的精美盘子在慢镜下摔得粉碎，而恰恰是覆灭才让小李子在阶梯上永恒青春。也可以往坏了想，就是为了掐灭阶层跃升融合的可能，警卫沉迷于舞蹈，旧世界才如此轰隆崩塌，罪恶之人总会留下、翻来覆去还是一个样。但不管如何，卡梅隆都是下水的赏金猎人、首先爱的还是科技和奇观，而(25年后的)观众是开头说u r full of shit的同伴，这艘往昔的大船只要还能俘获众人内心、放弃三小时的愤世嫉俗，也许人类就还有救。但我每到动情处就被金童玉女、命中注定、一眼万年劝走，如此essentialize情感，看完只想跟朋友暴论：世界爱情诸多不幸，好莱坞要背大锅。
啊蓝天啊云好多,力荐,女主太勇敢了，爱情真的能给人这么大的勇气吗？5+
1010不是0,力荐,小李子乍一看一般般帅，但是Jack的人设让他看起来超级帅
那就迟到吧,力荐,25年，终于看过这部电影，经典不愧是经典。美得像天神一样的温斯莱特，又年轻又帅到令人发指的小李子，被打碎的美好才更动人。
r00yr,力荐,会为rose身上迸发出的女性主义光芒所倾倒，拿起斧头的时候简直帅呆了。
正在输入姓名,力荐,长大了，想法变多了，看电影时，心里全是评价，怀疑，对美好爱情的怀疑，真的有这样好的情感吗？因为太稀有才被拍出来吧。但小时候可没有这种想法，认为这就是爱情，爱情理应如此
momo,力荐,"我怎么现在才看泰坦尼克啊 太好看了
前半段极尽奢华，后半段将美好的假象全部毁掉：摔碎的盘子，蚂蚁一样掉落的人，冰面上漂浮的活活冻死的人群…阶级依旧决定着人的生死，而男女主我愿称之为两个疯批的爱情故事，在压抑的灾难面前好像有超越一些痛苦的力量
最喜欢电影最后一个画面：穿过时光回廊，记忆的光被点亮，船舱门开了，那群人又鲜活地出现在了眼前"
Ocap,力荐,最接近完美的商业电影。卡梅隆这一套比斯皮尔伯格的保质期更久。
芥末小馒头,推荐,哭得稀里哗啦的
八月,力荐,是我看过最好的爱情故事电影，电影不像电视剧一样大众，但是，当这部电影出现后，依然达到了无人不知的盛况，身边的人几乎都知道那个两个主角站在船头的经典场景，这真的是是一部很经典的电影
饿霸地煮,力荐,一半天堂一半地狱，一半自由一半不自由，一半公平一半不公平。整个古典欧洲，十八世纪以降的荣耀龌龊典雅智慧愚昧孤独惆怅，都被装进了一艘大船。大船崩溃的时候，听到包法利夫人在救生船上尖叫，安娜卡列尼娜冲向火车，伯爵家的苔丝抓住谁的手奔赴绝地，盖茨比松开手沉入绿光里永恒的寂静，堂吉诃德穿着盛装等待穹顶的末日，圣母院的克罗德逃不过命运的审判和好运的遗弃，马吕斯与珂赛特砸烂铁门向上跑，沙威一枪了结了自己，卡顿被送上断头台，老人与海原来说的是音乐家与海…1912以后是一战二战，是革命革命，原来这是一次上帝的警告，不要太傲慢了…如果一辈子只看一部电影，就是它了。
近未来,力荐,史诗级的浪漫爱情与灾难片标杆中的标杆，我心永恒的前奏一响，心中总有无尽的感动。最后船开到了美国，也看到了自由女神像，可是船不是泰坦尼克号，看到的人也不是Jack，但我却把你的姓氏冠我之名一同带到了这里。那是，一段永存不灭的爱。
Yepeɪ.,力荐,老年Rose在最后的回忆里说：“女人的心里是藏着很多秘密的，原谅我，没有把这一切告诉你的祖父”。她甚至用了深爱的男子的姓，来开始她的余生。是这个叫她活下去的男子，给了她按部就班的人生一记当头棒喝。我们都在人生里寻找归宿，只是可悲的是，真爱从来匆匆，留下来的，都只是生活。
便当小子🍱,力荐,“我永不放弃，我答应你” 我狂哭
默,推荐,当年的小李子真的美如画，清秀的少年郎，露丝也身姿卓越，气质很好，面容姣好。话说当年我第一次看的时候汽车那没看懂，还在想为啥有这段，有个同学还说她对这电影印象最深的是这段，搞得我一脸懵逼，然后再看一遍，看懂了好羞耻╮(╯▽╰)╭
扌丁月佥,力荐,一直没有看过，直到上了大一才找出来看，真的是哭的一塌糊涂，从此喜欢上小李子。
梦里诗书,力荐,电影所呈现的虽然是一场灾难，却再难有一部电影能如《泰坦尼克号》这般给人以灾难中洞彻心灵爱的美好，杰克与露西他们之间的生死绝恋是一场永恒之爱，杰克的离去，露丝其实一直代替着他精彩的活下去，电影结局处露丝魂归梦处，杰克的想迎，爱在此便成了永恒。
小小朋友,推荐,很少看一部电影看三遍，这部电影除外，除了杰克与肉丝的爱情，我更喜欢影片中，让女人与儿童先走的呐喊，面对死亡不停息的演奏者们等等，人性的光辉总是一部影片最吸引人和最打动人的。
思路乐,力荐,【A】依旧有着属于卡梅隆的元素包容性——深海探索、历史再现、工业崇拜、阶级图景、女性独立和复杂又无可辩驳的人性呈现。不过影片最终又未曾过于深入任意一点，整体构成也绝非至善至美，但最终效果指向一种不可动摇的普世性，顺滑而流畅的叙事不断折射出顶级好莱坞的核心评判准则（也是卡梅隆实现商业胜利的深层原因，精挑细选后的简练成品）。前两幕的爱情戏码或许是过于经典，损失了不少惊喜和化学反应，但仍有着质朴的情节驱动力，也毫无疑问能看清「爱」的塑形过程。直到第三幕的沉船高潮，可能定义了好莱坞复杂场面调度的极限，酣畅淋漓又精疲力尽，卡梅隆用这样的奇观执行证明了自己作为「电影暴君」的正当性，代表着其职业生涯的最高影像成就，再无复刻可能。
二二得四,力荐,这片最先打动我的并不是爱情，而是自由。Rose被Jack吸引因为他内心自由，他在和“上等人”的聚餐上不因来自三等舱而自卑，他对快乐和幸福的感受不受物质和阶层的定义，他画出来的是真正的人，不因对方是hooker或贵妇而受约束。所以Rose用爱人的方式成为自己，去骑马、去开飞机、去过不被命运和社会给予的人生。所以我始终深信：爱一个人的本质，是爱和对方在一起时的自己。爱之所以有力量不是对方补足了你缺少的物质条件，而是因为他的存在，让你更有勇气成为更好的自己。
命中注定的爱,推荐,经典中的经典，小时候看场面宏大，剧情感人，他们的爱情让我记忆由心，好看！
杨迪,力荐,汶川人都去电影院看过
橘猫爱吃鱼,力荐,《泰坦尼克号》是我记忆电影里的经典之作。男女主人公站在甲板船头的经典动作也成了那个时代最最完美的姿势~
Untitled,力荐,泰坦尼克号上映25周年大银幕重映，上次看大概还是20年前上小学的时候，时光飞逝，经典永存（真三个多小时无尿点。灾难中的人性和爱情，it’s a sad story，人类之于海洋之于宇宙过分渺小，but my heart will go on. 杰克肉丝真是这个世界美好的存在<3
over,力荐,我心里最完美的电影。唯一让我几次嚎啕大哭怎么都止不住，直到结束时眼肿耳鸣的电影。至今看过的最好的爱情片，更是最好的灾难片。爱与永恒，泰坦尼克号的故事永远悲凉，也壮美。活在我心里的不只有Jack和Rose，更有直到生命最后一刻还在岗位上坚守的船工和船员们，体面而敬畏地演奏乐章的小提琴手们，还有那位儒雅温柔的设计师，那位给两个孩子讲故事的妈妈，那些唯一决定划船回去的人们，还有太多太多。灾难目睹人类的渺小，更见证人类的伟大。
易老邪,还行,如此平庸的一部片却缔造了一个票房神话。
媛木子,力荐,非常经典，当初小李子的Jack真的是帅到腿软啊！
端木夜,推荐,非常经典的一部电影，满满的童年回忆，再看一遍，还是很感人
不将就。,力荐,看了很多次 都没坚持  看完后又觉得电影太短  经典就是经典 男女主角的爱情故事令人羡慕 结局虽不尽人意 但经历是美好的
Adastra,还行,说实话，我对Jack和Rose的老套爱情故事无感，对里面的小人物倒是很感兴趣。工程师对自己没能造出坚不可摧的泰坦尼克的悔恨，船长对自己因追求荣誉酿成灾难的痛心，大副为了维护秩序枪杀穷人而饮弹，这些情节体现的人性更让我刻骨铭心，配乐顶级。
樱花飞舞时,力荐,这部电影让我相信了爱情的存在性与永恒性，值得被永久收藏。
接十分钟的吻,还行,高中同学推荐我看的，但是实在是太长了，没有耐心看下去，不过杰克好帅啊
bekey,推荐,当my heart will go on响起时，很多人都会因为看过电影中至死不渝的爱情而一顿唏嘘感叹。是啊，这是一部跨越阶级和生死的爱恋。前有门当户对甚至更富有但却不爱的未婚夫做反面，后有生死离的考验。矛盾冲突点都很尖锐，让观众一次又一次将心提到嗓门边，也让这份爱变得更恒久绵长。
布兹克兹,力荐,“我这辈子最幸运的事，是赢得了那张船票————它让我遇见了你。”
猫様,还行,讲道理……撇开历史上真实泰坦尼克的传奇效应、斥巨资真船真沉的噱头、恰逢颜巅峰的小李子、第一部国内公映好莱坞电影带来的童年滤镜这些光环………电影本身真的………很一般
momo,力荐,Rose 之后真的去学了骑马，那些照片太催泪😭😭😭😭😭😭😭下次重映也要去看喔
贵妇曼妮,推荐,死到临头坚持演奏的几位乐手真是哲人
大志的小耳朵,力荐,经典，永恒的主题爱情。爱情究竟是什么，它是怎么产生的？爱情是美好的，伟大的。
松村北抖M,力荐,有幸在25週年重映看上大螢幕甚至是RealD的3D，當年的KateRose真的太美太美
思无邪,推荐,不圆满的爱情才更让人难以忘怀吧，但说实话就算他们活了下来他们能在一起吗？女方父母会同意吗？在灾难面前人的生命是多么的渺小。小李子年轻时真帅
不错我就是神,推荐,经典，自己多么也想拥有那样的爱情啊。可是现实生活中很难有那样一个人可以不惜一切为你。。
隔岸观船,推荐,在灾难面前 人类的渺小无力 在死亡面前 人人平等 这部影片闪烁着人性的光辉 爱能跨过阶级 超越生死
cyannnn.,力荐,you jump i jump 时隔多年依然被这部电影所感动 最感动的不在于rose和Jack的爱情 而是rose勇敢打破那个时代的女性桎梏 思想上解放 违背母意选择自己的生活 卡导对于灾难大场面的把握做的太好了
自在_zhang,力荐,熬了下夜在电脑上看完了，之后失落了一晚上……
随意,力荐,觉得挺经典，多年以后仍然忘不了当时看时的感动和惋惜。
张维托,力荐,敬意给所有从容死去的人。给安德鲁斯。给我最爱的大西洋。给童年半梦半醒那段回忆里对电影的一切记忆。
爱幻想的小孩,推荐,这么多年后重新看真的觉得卡神真的是很厉害，这么多人的场面调度，那么大的压力，还能沉稳的拍片，佩服。不过看他的删节镜头还是很失望的，觉得这么蠢的戏怎么能拍出来，特别是那个备用版本的结局，又蠢又俗
婷婷爱八卦,力荐,目前最爱的电影了，一口气在电影院看了三遍，泪流满面，这么大的灾难面前人是多么的脆弱！祝福他们重新投个好胎好好地活着
元气满满himiko,力荐,原来海洋之心的泰坦尼克号是这样的，信念是突破一切的来源，要相信！
Leon Winters W,力荐,更为重要的是，在国产大片年年见面的今日今时，回头再看[泰坦尼克]，才发现所谓影人勒紧裤腰带探索多年的经验，十年前，就已经有人做到了近乎完美，不仅赚得票子和眼泪，赢了口碑，而且承载了整整一代人的记忆和青春
时以星,推荐,如果十年前很抗拒，说没什么特别的，那是因为当年太年幼，你以为你能拥有比这更深刻的爱情。
我lu不会飞,力荐,灾难面前见真情，他们的爱情千古流传
阿vi子,力荐,看过好多次了，每次看都被感动的一塌涂地 o(╥﹏╥)o 经典就是经典啊
Pluto&Piaget,力荐,平安日 谢谢有人记得情节和光线 仍然陪我看这片。三个联想：1直到发现裸像，杰克都可以是少年Pi老虎，露丝的自由人格幻面，所有能证明他存在的人物都灭失了 2怪罪“露丝不下船，则杰克可以独趴门板”，相当于在俄尔浦斯地狱救妻时，责怪他回头，却不问他一开始为什么能只身下地狱呢 3露丝随电梯逆行，闸门的光影在她脸上，我魂穿盗梦空间的玛丽昂歌迪亚//说铁达尼号俗，就如同说爱情俗，或者死亡俗，简直没法成立。海水淹入餐厅，瓷餐具都在桌上漂浮起来，此镜虏获我心：所以人制作美好东西，并非为存续，而是为让后人看到它们覆灭于水，释怀自身之有限。换言之咱惊天动地活着惊心动魄地死去，其意义是身体力行地给孩子演示并使他们明白死这件事
甜椒Oli,力荐,在岁月面前经历都是一场梦。苍老的脸上的皱纹才是这一生的回忆。你放在心底深刻的美好是因为没得到的白月光朱砂痣。
狗富贵,推荐,伟大的爱情，露丝代替杰克好好的活着啊……
溪棠-迷糊狐,推荐,爱情一旦久长，就不朽。当青春不再的rose带着少女的微笑以海洋之心祭奠那个永远沉睡在冰海的少年时，一切痛苦与分离在那一刻永生。
天然呆,推荐,但凡是伟大的经典都是悲剧，因为失去的才是永恒的，人们才会永远记得，莱奥纳多好年轻，帅气
媛媛,推荐,看过无数遍，永远的经典！每次看都会哭的稀里哗啦，结局虐心！
阿vi子,力荐,看过好多次了，每次看都被感动的一塌涂地 o(╥﹏╥)o 经典就是经典啊
Pluto&Piaget,力荐,平安日 谢谢有人记得情节和光线 仍然陪我看这片。三个联想：1直到发现裸像，杰克都可以是少年Pi老虎，露丝的自由人格幻面，所有能证明他存在的人物都灭失了 2怪罪“露丝不下船，则杰克可以独趴门板”，相当于在俄尔浦斯地狱救妻时，责怪他回头，却不问他一开始为什么能只身下地狱呢 3露丝随电梯逆行，闸门的光影在她脸上，我魂穿盗梦空间的玛丽昂歌迪亚//说铁达尼号俗，就如同说爱情俗，或者死亡俗，简直没法成立。海水淹入餐厅，瓷餐具都在桌上漂浮起来，此镜虏获我心：所以人制作美好东西，并非为存续，而是为让后人看到它们覆灭于水，释怀自身之有限。换言之咱惊天动地活着惊心动魄地死去，其意义是身体力行地给孩子演示并使他们明白死这件事
甜椒Oli,力荐,在岁月面前经历都是一场梦。苍老的脸上的皱纹才是这一生的回忆。你放在心底深刻的美好是因为没得到的白月光朱砂痣。
符小离不是兔妖,推荐,经典。U jump，I jump。当爱定格在死亡的那一刻，即使时间的洪流也难以将爱淹没，爱便成为了永恒。
默默的蘑菇,推荐,感叹小李的帅气，其实我更想用beauty或者beaux。
沧海一小生,力荐,那份上天安排的邂逅、那份温柔的浪漫、那份舍我为你的感动，这部影片全能给你！
ceci🍰,力荐,泰坦尼克号，杰克和罗丝，爱情电影永恒的经典。
倩倩啦啦啦,力荐,这个剧真的是让我看一次哭一次，很棒！！！
朱迷糊🌸,力荐,"很经典   很震撼
人性的脆弱和伟大在苦难面前全部体现
不了解这部片的人可能会觉得它是商业片但是即使是它也是成功的商业片
男女主人公的故事告诉我们  
人生的路都不平坦  
但是人性的坚强和勇气
却可以让我们面对挫折时能勇往直前
感受阳光～"
妖孽坐地成仙,推荐,看过还不止一遍。最感动的反而不是主角，而是那群在船上镇定奏乐的乐师们，还有那对依偎在床上的老夫妻。灾难面前人性被放得很大，有人陪着你从容面对死亡，这是怎样的感情。
闫妮,力荐,classic~时过境迁才发现rose是丰满的，但一样很美
圈圈,力荐,1912年4月10日，号称“永不沉没”的豪华巨轮泰坦尼克号，在首航4天后撞上大西洋的冰山，沉入冰冷的深海。一次赌博后的胜利、一次绝望后的重生，露丝和杰克的相爱犹如天作之合，品格高尚、气味相投、相互珍惜的年轻人美好而短暂的爱情故事。灾难犹如放大镜，既窥见自私卑劣无情的人，也照见信仰博爱无私的人。“赢得那张船票，是我一生中最幸运的事，它让我遇见了你，对此，我感激不尽。”沉船110周年，最爱的小李子，最凄美的爱情。
俗世旧人,力荐,"十年一次的观看体验，十几岁看热闹，二十几岁看爱情，三十多岁看人性、阶层、灾难、职责、自由、生命力、拯救和成全。

每一次都是五星观感体验。"
宁宁,力荐,爱情电影的巅峰，永远的经典，虽然是悲剧，但Rose和Jack的爱情故事深深地震撼了我，非常难忘的电影！
遇见彩虹🌈,力荐,杰克和罗丝的标准动作至今还能在各种综艺、影片中看到，那首我心永恒至今听到依旧会想起片中的片断。永远的1998。
曾于里,力荐,我看过的最美的爱情，好几个场景都忍不住哭了
